State,num_Airports,,,
ALABAMA,5,,,
ALASKA,28,,,1
ARIZONA,9,,,
ARKANSAS,4,,,
CALIFORNIA,22,,,
COLORADO,9,,,
CONNECTICUT,2,,,
DELAWARE,1,,,
FLORIDA,20,,,
GEORGIA,15,,,
HAWAII,7,,,
IDAHO,6,,,
ILLINOIS,11,,,
INDIANA,4,,,
IOWA,5,,,
KANSAS,4,,,
KENTUCKY,5,,,
LOUISIANA,7,,,
MAINE,4,,,
MARYLAND,3,,,
MASSACHUSETTS,6,,,
MICHIGAN,15,,,
MINNESOTA,8,,,
MISSISSIPPI,3,,,
MISSOURI,5,,,
MONTANA,8,,,
NEBRASKA,3,,,
NEVADA,5,,,
NEW HAMPSHIRE,3,,,
NEW JERSEY,3,,,
NEW MEXICO,4,,,
NEW YORK,16,,,
NORTH CAROLINA,10,,,
NORTH DAKOTA,6,,,
OHIO,8,,,
OKLAHOMA,3,,,
OREGON,5,,,
PENNSYLVANIA,9,,,
RHODE ISLAND,3,,,
SOUTH CAROLINA,6,,,
SOUTH DAKOTA,3,,,
TENNESSEE,5,,,
TEXAS,24,,,
UTAH,14,,,
WASHINGTON D.C.,2,,,
WASHINGTON,10,,,
WEST VIRGINIA,4,,,
WISCONSIN,8,,,
WYOMING,6,,,