Data as of,Start week,End Week,State,COVID-19 Deaths,z,Pneumonia and COVID-19 Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
5/27/20,2/1/20,2/1/20,Alabama,0,1019,0,70
5/27/20,2/8/20,2/8/20,Alabama,0,1107,0,65
5/27/20,2/15/20,2/15/20,Alabama,0,1080,0,79
5/27/20,2/22/20,2/22/20,Alabama,0,1081,0,91
5/27/20,2/29/20,2/29/20,Alabama,0,1142,0,
5/27/20,3/7/20,3/7/20,Alabama,0,1035,0,
5/27/20,3/14/20,3/14/20,Alabama,0,1059,0,
5/27/20,3/21/20,3/21/20,Alabama,,1034,,10
5/27/20,3/28/20,3/28/20,Alabama,22,1032,,88
5/27/20,4/4/20,4/4/20,Alabama,49,1115,11,93
5/27/20,4/11/20,4/11/20,Alabama,79,1086,27,109
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Alaska,0,83,0,477
5/27/20,2/8/20,2/8/20,Alaska,0,92,0,538
5/27/20,2/15/20,2/15/20,Alaska,0,88,0,649
5/27/20,2/22/20,2/22/20,Alaska,0,83,0,61
5/27/20,2/29/20,2/29/20,Alaska,0,78,0,49
5/27/20,3/7/20,3/7/20,Alaska,0,78,0,88
5/27/20,3/14/20,3/14/20,Alaska,0,88,0,112
5/27/20,3/21/20,3/21/20,Alaska,0,65,0,
5/27/20,3/28/20,3/28/20,Alaska,,80,,
5/27/20,4/4/20,4/4/20,Alaska,,93,,19
5/27/20,4/11/20,4/11/20,Alaska,,76,,46
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Arizona,0,1262,0,10
5/27/20,2/8/20,2/8/20,Arizona,0,1258,0,21
5/27/20,2/15/20,2/15/20,Arizona,0,1308,0,292
5/27/20,2/22/20,2/22/20,Arizona,0,1335,0,330
5/27/20,2/29/20,2/29/20,Arizona,0,1346,0,388
5/27/20,3/7/20,3/7/20,Arizona,0,1376,0,428
5/27/20,3/14/20,3/14/20,Arizona,0,1341,0,92
5/27/20,3/21/20,3/21/20,Arizona,,1279,,105
5/27/20,3/28/20,3/28/20,Arizona,29,1314,17,152
5/27/20,4/4/20,4/4/20,Arizona,56,1342,29,203
5/27/20,4/11/20,4/11/20,Arizona,88,1388,50,23
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Arkansas,0,678,0,20
5/27/20,2/8/20,2/8/20,Arkansas,0,670,0,196
5/27/20,2/15/20,2/15/20,Arkansas,0,686,0,186
5/27/20,2/22/20,2/22/20,Arkansas,0,691,0,195
5/27/20,2/29/20,2/29/20,Arkansas,0,653,0,271
5/27/20,3/7/20,3/7/20,Arkansas,0,693,0,108
5/27/20,3/14/20,3/14/20,Arkansas,0,623,0,128
5/27/20,3/21/20,3/21/20,Arkansas,0,631,0,113
5/27/20,3/28/20,3/28/20,Arkansas,,627,0,170
5/27/20,4/4/20,4/4/20,Arkansas,,603,,55
5/27/20,4/11/20,4/11/20,Arkansas,12,623,,68
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,California,0,5674,0,80
5/27/20,2/8/20,2/8/20,California,,5892,0,99
5/27/20,2/15/20,2/15/20,California,0,5571,0,94
5/27/20,2/22/20,2/22/20,California,,5786,0,82
5/27/20,2/29/20,2/29/20,California,0,5656,0,56
5/27/20,3/7/20,3/7/20,California,,5702,0,49
5/27/20,3/14/20,3/14/20,California,,5431,,88
5/27/20,3/21/20,3/21/20,California,42,5638,19,229
5/27/20,3/28/20,3/28/20,California,122,5641,67,32
5/27/20,4/4/20,4/4/20,California,282,5911,153,35
5/27/20,4/11/20,4/11/20,California,368,5930,213,18
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Colorado,0,789,0,108
5/27/20,2/8/20,2/8/20,Colorado,0,843,0,121
5/27/20,2/15/20,2/15/20,Colorado,0,804,0,170
5/27/20,2/22/20,2/22/20,Colorado,0,879,0,136
5/27/20,2/29/20,2/29/20,Colorado,0,842,0,157
5/27/20,3/7/20,3/7/20,Colorado,0,820,0,172
5/27/20,3/14/20,3/14/20,Colorado,,815,0,398
5/27/20,3/21/20,3/21/20,Colorado,16,888,,86
5/27/20,3/28/20,3/28/20,Colorado,44,851,26,65
5/27/20,4/4/20,4/4/20,Colorado,129,957,85,81
5/27/20,4/11/20,4/11/20,Colorado,209,1088,121,72
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Connecticut,0,676,0,85
5/27/20,2/8/20,2/8/20,Connecticut,0,638,0,121
5/27/20,2/15/20,2/15/20,Connecticut,0,622,0,18
5/27/20,2/22/20,2/22/20,Connecticut,0,638,0,17
5/27/20,2/29/20,2/29/20,Connecticut,0,620,0,26
5/27/20,3/7/20,3/7/20,Connecticut,0,169,0,26
5/27/20,3/14/20,3/14/20,Connecticut,0,157,0,31
5/27/20,3/21/20,3/21/20,Connecticut,,193,,25
5/27/20,3/28/20,3/28/20,Connecticut,42,210,13,33
5/27/20,4/4/20,4/4/20,Connecticut,136,200,25,25
5/27/20,4/11/20,4/11/20,Connecticut,299,312,75,36
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Delaware,0,178,0,26
5/27/20,2/8/20,2/8/20,Delaware,0,186,0,98
5/27/20,2/15/20,2/15/20,Delaware,0,201,0,97
5/27/20,2/22/20,2/22/20,Delaware,0,188,0,141
5/27/20,2/29/20,2/29/20,Delaware,0,162,0,472
5/27/20,3/7/20,3/7/20,Delaware,0,191,0,27
5/27/20,3/14/20,3/14/20,Delaware,0,182,0,22
5/27/20,3/21/20,3/21/20,Delaware,0,213,0,31
5/27/20,3/28/20,3/28/20,Delaware,,177,,24
5/27/20,4/4/20,4/4/20,Delaware,,198,,185
5/27/20,4/11/20,4/11/20,Delaware,21,184,,187
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,District of Columbia,0,142,0,129
5/27/20,2/8/20,2/8/20,District of Columbia,0,130,0,120
5/27/20,2/15/20,2/15/20,District of Columbia,0,121,0,130
5/27/20,2/22/20,2/22/20,District of Columbia,0,102,0,127
5/27/20,2/29/20,2/29/20,District of Columbia,0,133,0,21
5/27/20,3/7/20,3/7/20,District of Columbia,0,118,0,18
5/27/20,3/14/20,3/14/20,District of Columbia,0,111,0,21
5/27/20,3/21/20,3/21/20,District of Columbia,,125,,
5/27/20,3/28/20,3/28/20,District of Columbia,,123,,155
5/27/20,4/4/20,4/4/20,District of Columbia,25,150,25,167
5/27/20,4/11/20,4/11/20,District of Columbia,32,170,32,164
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Florida,0,4420,0,53
5/27/20,2/8/20,2/8/20,Florida,0,4383,0,56
5/27/20,2/15/20,2/15/20,Florida,0,4358,0,60
5/27/20,2/22/20,2/22/20,Florida,0,4412,0,136
5/27/20,2/29/20,2/29/20,Florida,0,4397,0,144
5/27/20,3/7/20,3/7/20,Florida,,4520,,189
5/27/20,3/14/20,3/14/20,Florida,,4435,,235
5/27/20,3/21/20,3/21/20,Florida,17,4358,,21
5/27/20,3/28/20,3/28/20,Florida,92,4456,45,13
5/27/20,4/4/20,4/4/20,Florida,218,4489,142,21
5/27/20,4/11/20,4/11/20,Florida,299,4534,155,14
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Georgia,0,1774,0,12
5/27/20,2/8/20,2/8/20,Georgia,0,1739,0,16
5/27/20,2/15/20,2/15/20,Georgia,0,1728,0,133
5/27/20,2/22/20,2/22/20,Georgia,0,1698,0,118
5/27/20,2/29/20,2/29/20,Georgia,0,1800,0,120
5/27/20,3/7/20,3/7/20,Georgia,,1710,,132
5/27/20,3/14/20,3/14/20,Georgia,,1717,,314
5/27/20,3/21/20,3/21/20,Georgia,33,1692,16,334
5/27/20,3/28/20,3/28/20,Georgia,87,1760,37,354
5/27/20,4/4/20,4/4/20,Georgia,187,1858,97,384
5/27/20,4/11/20,4/11/20,Georgia,192,1832,82,33
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Hawaii,0,242,0,21
5/27/20,2/8/20,2/8/20,Hawaii,0,234,0,81
5/27/20,2/15/20,2/15/20,Hawaii,0,278,0,83
5/27/20,2/22/20,2/22/20,Hawaii,0,245,0,82
5/27/20,2/29/20,2/29/20,Hawaii,0,237,0,129
5/27/20,3/7/20,3/7/20,Hawaii,0,238,0,120
5/27/20,3/14/20,3/14/20,Hawaii,0,243,0,106
5/27/20,3/21/20,3/21/20,Hawaii,0,211,0,168
5/27/20,3/28/20,3/28/20,Hawaii,0,231,0,229
5/27/20,4/4/20,4/4/20,Hawaii,,233,,36
5/27/20,4/11/20,4/11/20,Hawaii,,221,,43
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Idaho,0,249,0,11
5/27/20,2/8/20,2/8/20,Idaho,0,293,0,
5/27/20,2/15/20,2/15/20,Idaho,0,279,0,
5/27/20,2/22/20,2/22/20,Idaho,0,318,0,11
5/27/20,2/29/20,2/29/20,Idaho,0,289,0,
5/27/20,3/7/20,3/7/20,Idaho,0,278,0,
5/27/20,3/14/20,3/14/20,Idaho,0,284,0,
5/27/20,3/21/20,3/21/20,Idaho,0,308,0,
5/27/20,3/28/20,3/28/20,Idaho,,332,,
5/27/20,4/4/20,4/4/20,Idaho,,271,,
5/27/20,4/11/20,4/11/20,Idaho,22,305,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Illinois,0,2137,0,
5/27/20,2/8/20,2/8/20,Illinois,0,2229,0,
5/27/20,2/15/20,2/15/20,Illinois,0,2217,0,
5/27/20,2/22/20,2/22/20,Illinois,0,2204,0,
5/27/20,2/29/20,2/29/20,Illinois,0,2208,0,
5/27/20,3/7/20,3/7/20,Illinois,0,2247,0,
5/27/20,3/14/20,3/14/20,Illinois,,2184,,
5/27/20,3/21/20,3/21/20,Illinois,13,2274,,
5/27/20,3/28/20,3/28/20,Illinois,68,2283,42,
5/27/20,4/4/20,4/4/20,Illinois,284,2601,169,
5/27/20,4/11/20,4/11/20,Illinois,457,2835,248,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Indiana,0,1367,0,
5/27/20,2/8/20,2/8/20,Indiana,0,1357,0,
5/27/20,2/15/20,2/15/20,Indiana,0,1413,0,
5/27/20,2/22/20,2/22/20,Indiana,0,1394,0,
5/27/20,2/29/20,2/29/20,Indiana,0,1437,0,
5/27/20,3/7/20,3/7/20,Indiana,0,1346,0,
5/27/20,3/14/20,3/14/20,Indiana,,1380,0,
5/27/20,3/21/20,3/21/20,Indiana,15,1300,,
5/27/20,3/28/20,3/28/20,Indiana,50,1450,24,
5/27/20,4/4/20,4/4/20,Indiana,150,1536,89,
5/27/20,4/11/20,4/11/20,Indiana,221,1577,113,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Iowa,0,613,0,
5/27/20,2/8/20,2/8/20,Iowa,0,634,0,
5/27/20,2/15/20,2/15/20,Iowa,0,596,0,
5/27/20,2/22/20,2/22/20,Iowa,0,641,0,
5/27/20,2/29/20,2/29/20,Iowa,0,641,0,
5/27/20,3/7/20,3/7/20,Iowa,0,620,0,
5/27/20,3/14/20,3/14/20,Iowa,0,630,0,
5/27/20,3/21/20,3/21/20,Iowa,0,589,0,
5/27/20,3/28/20,3/28/20,Iowa,,589,0,
5/27/20,4/4/20,4/4/20,Iowa,16,599,,
5/27/20,4/11/20,4/11/20,Iowa,21,581,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Kansas,0,546,0,
5/27/20,2/8/20,2/8/20,Kansas,0,503,0,
5/27/20,2/15/20,2/15/20,Kansas,0,572,0,
5/27/20,2/22/20,2/22/20,Kansas,0,557,0,
5/27/20,2/29/20,2/29/20,Kansas,0,539,0,
5/27/20,3/7/20,3/7/20,Kansas,0,573,0,
5/27/20,3/14/20,3/14/20,Kansas,,519,0,
5/27/20,3/21/20,3/21/20,Kansas,,512,0,
5/27/20,3/28/20,3/28/20,Kansas,,516,,
5/27/20,4/4/20,4/4/20,Kansas,21,540,,
5/27/20,4/11/20,4/11/20,Kansas,32,513,13,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Kentucky,0,972,0,
5/27/20,2/8/20,2/8/20,Kentucky,0,947,0,
5/27/20,2/15/20,2/15/20,Kentucky,0,944,0,
5/27/20,2/22/20,2/22/20,Kentucky,0,979,0,
5/27/20,2/29/20,2/29/20,Kentucky,0,998,0,
5/27/20,3/7/20,3/7/20,Kentucky,0,972,0,
5/27/20,3/14/20,3/14/20,Kentucky,0,987,0,
5/27/20,3/21/20,3/21/20,Kentucky,,906,,
5/27/20,3/28/20,3/28/20,Kentucky,,894,,
5/27/20,4/4/20,4/4/20,Kentucky,46,987,31,
5/27/20,4/11/20,4/11/20,Kentucky,52,949,33,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Louisiana,0,965,0,
5/27/20,2/8/20,2/8/20,Louisiana,0,938,0,
5/27/20,2/15/20,2/15/20,Louisiana,0,928,0,
5/27/20,2/22/20,2/22/20,Louisiana,0,924,0,
5/27/20,2/29/20,2/29/20,Louisiana,0,970,0,
5/27/20,3/7/20,3/7/20,Louisiana,,933,,
5/27/20,3/14/20,3/14/20,Louisiana,0,941,0,
5/27/20,3/21/20,3/21/20,Louisiana,37,881,20,
5/27/20,3/28/20,3/28/20,Louisiana,170,1157,57,
5/27/20,4/4/20,4/4/20,Louisiana,347,1268,145,
5/27/20,4/11/20,4/11/20,Louisiana,409,1388,169,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Maine,0,288,0,
5/27/20,2/8/20,2/8/20,Maine,0,316,0,
5/27/20,2/15/20,2/15/20,Maine,0,329,0,
5/27/20,2/22/20,2/22/20,Maine,0,299,0,
5/27/20,2/29/20,2/29/20,Maine,0,292,0,
5/27/20,3/7/20,3/7/20,Maine,0,313,0,
5/27/20,3/14/20,3/14/20,Maine,0,301,0,
5/27/20,3/21/20,3/21/20,Maine,0,277,0,
5/27/20,3/28/20,3/28/20,Maine,,279,,
5/27/20,4/4/20,4/4/20,Maine,,300,,
5/27/20,4/11/20,4/11/20,Maine,11,304,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Maryland,0,1034,0,
5/27/20,2/8/20,2/8/20,Maryland,0,1003,0,
5/27/20,2/15/20,2/15/20,Maryland,0,1018,0,
5/27/20,2/22/20,2/22/20,Maryland,0,969,0,
5/27/20,2/29/20,2/29/20,Maryland,0,1072,0,
5/27/20,3/7/20,3/7/20,Maryland,0,1043,0,
5/27/20,3/14/20,3/14/20,Maryland,0,1004,0,
5/27/20,3/21/20,3/21/20,Maryland,,1056,,
5/27/20,3/28/20,3/28/20,Maryland,18,1091,10,
5/27/20,4/4/20,4/4/20,Maryland,90,1183,43,
5/27/20,4/11/20,4/11/20,Maryland,211,1339,88,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Massachusetts,0,1200,0,
5/27/20,2/8/20,2/8/20,Massachusetts,0,1231,0,
5/27/20,2/15/20,2/15/20,Massachusetts,0,1248,0,
5/27/20,2/22/20,2/22/20,Massachusetts,,1164,0,
5/27/20,2/29/20,2/29/20,Massachusetts,0,1275,0,
5/27/20,3/7/20,3/7/20,Massachusetts,,1213,0,
5/27/20,3/14/20,3/14/20,Massachusetts,0,1306,0,
5/27/20,3/21/20,3/21/20,Massachusetts,,1166,,
5/27/20,3/28/20,3/28/20,Massachusetts,47,1282,19,
5/27/20,4/4/20,4/4/20,Massachusetts,226,1536,120,
5/27/20,4/11/20,4/11/20,Massachusetts,625,2015,236,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Michigan,0,1999,0,
5/27/20,2/8/20,2/8/20,Michigan,0,1930,0,
5/27/20,2/15/20,2/15/20,Michigan,0,2007,0,
5/27/20,2/22/20,2/22/20,Michigan,0,2051,0,
5/27/20,2/29/20,2/29/20,Michigan,0,1958,0,
5/27/20,3/7/20,3/7/20,Michigan,0,1965,0,
5/27/20,3/14/20,3/14/20,Michigan,,1930,,
5/27/20,3/21/20,3/21/20,Michigan,18,1989,,
5/27/20,3/28/20,3/28/20,Michigan,214,2359,109,
5/27/20,4/4/20,4/4/20,Michigan,623,2976,335,
5/27/20,4/11/20,4/11/20,Michigan,881,3177,448,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Minnesota,0,941,0,
5/27/20,2/8/20,2/8/20,Minnesota,0,918,0,
5/27/20,2/15/20,2/15/20,Minnesota,0,938,0,
5/27/20,2/22/20,2/22/20,Minnesota,0,911,0,
5/27/20,2/29/20,2/29/20,Minnesota,0,929,0,
5/27/20,3/7/20,3/7/20,Minnesota,0,941,0,
5/27/20,3/14/20,3/14/20,Minnesota,0,875,0,
5/27/20,3/21/20,3/21/20,Minnesota,,889,,
5/27/20,3/28/20,3/28/20,Minnesota,11,898,,
5/27/20,4/4/20,4/4/20,Minnesota,22,912,,
5/27/20,4/11/20,4/11/20,Minnesota,43,924,18,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Mississippi,0,601,0,
5/27/20,2/8/20,2/8/20,Mississippi,0,701,0,
5/27/20,2/15/20,2/15/20,Mississippi,0,642,0,
5/27/20,2/22/20,2/22/20,Mississippi,0,623,0,
5/27/20,2/29/20,2/29/20,Mississippi,0,662,0,
5/27/20,3/7/20,3/7/20,Mississippi,0,646,0,
5/27/20,3/14/20,3/14/20,Mississippi,0,611,0,
5/27/20,3/21/20,3/21/20,Mississippi,,612,0,
5/27/20,3/28/20,3/28/20,Mississippi,15,682,,
5/27/20,4/4/20,4/4/20,Mississippi,50,690,22,
5/27/20,4/11/20,4/11/20,Mississippi,60,674,33,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5/27/20,2/1/20,2/1/20,Missouri,0,1352,0,
5/27/20,2/8/20,2/8/20,Missouri,0,1318,0,
5/27/20,2/15/20,2/15/20,Missouri,0,1333,0,
5/27/20,2/22/20,2/22/20,Missouri,0,1342,0,
5/27/20,2/29/20,2/29/20,Missouri,0,1344,0,
5/27/20,3/7/20,3/7/20,Missouri,0,1350,0,
5/27/20,3/14/20,3/14/20,Missouri,0,1266,0,
5/27/20,3/21/20,3/21/20,Missouri,,1224,,
5/27/20,3/28/20,3/28/20,Missouri,15,1271,,
5/27/20,4/4/20,4/4/20,Missouri,52,1226,23,
